100 442
200 2656
300 3042
400 3464
500 4525
600 4934
700 5326
800 5736
900 6115
1000 6906
1100 7290
1200 7666
1300 8042
1400 8423
1500 8804
1600 9185
1700 9560
1800 9952
1900 10324
2000 10700
2100 11071
2200 11441
2300 11812
2400 12194
2500 12565
2600 12999
2700 13383
2800 13759
2900 14135
3000 14512
3100 14882
3200 15269
3300 15651
3400 16021
3500 16392
3600 16784
3700 17164
3800 17542
3900 18125
4000 18504
4100 18881
4200 19258
4300 19640
4400 20020
4500 20396
4600 20784
4700 21155
4800 21537
4900 21914
5000 22302
5100 22695
5200 23077
5300 23478
5400 23857
5500 24297
5600 24685
5700 25062
5800 25433
5900 25816
6000 26219
6100 26597
6200 27128
6300 27505
6400 27886
6500 28263
6600 28634
6700 29012
6800 29384
6900 29756
7000 30136
7100 30509
7200 30886
7300 31259
7400 31632
7500 32004
7600 32388
7700 32766
7800 33931
7900 34304
8000 34693
8100 35064
8200 35480
8300 35889
8400 36259
8500 36649
8600 37039
8700 37422
8800 37811
8900 38199
9000 38582
9100 38959
9200 39331
9300 39708
9400 40091
9500 40475
9600 40852
9700 41262
9800 41645
9900 42017
10000 42395
10100 42779
