100 423
200 776
300 1128
400 1481
500 1833
600 2200
700 2552
800 2904
900 3256
1000 3608
1100 3961
1200 4416
1300 5051
1400 5627
1500 5981
1600 6334
1700 6686
1800 7038
1900 7390
2000 7743
2100 8095
2200 8447
2300 8812
2400 9164
2500 9517
2600 9869
2700 10222
2800 10574
2900 10926
3000 11279
3100 11631
3200 11992
3300 12345
3400 12697
3500 13049
3600 13402
3700 13861
3800 14468
3900 15030
4000 15394
4100 15793
4200 16372
4300 16942
4400 17312
4500 17695
4600 18048
4700 18400
4800 18768
4900 19121
5000 19493
5100 19877
5200 20518
5300 20995
5400 21414
5500 21767
5600 22133
5700 22486
5800 22839
5900 23191
6000 23543
6100 23895
6200 24248
6300 24600
6400 24952
6500 25310
6600 25662
6700 26015
6800 26367
6900 26719
7000 27072
7100 27424
7200 27777
7300 28129
7400 28481
7500 28844
7600 29259
7700 29722
7800 30085
7900 30437
8000 30789
8100 31142
8200 31494
8300 32010
8400 32486
8500 32883
8600 33235
8700 33588
8800 33940
8900 34292
9000 34644
9100 34996
9200 35359
9300 35711
9400 36064
9500 36416
9600 36769
9700 37132
9800 37484
9900 37837
10000 38189
10100 38541
